"Date","series","OPEN","HIGH","LOW","PREV. CLOSE","ltp","close","vwap","52W H","52W L","VOLUME","VALUE","No of trades"
"02-05-2025","EQ","3472.00","3,491.50","3,420.00","3,453.70","3,438.00","3,444.70","3,450.76","4,592.25","3,056.05","21,15,624","7,30,05,05,304.30","1,24,212"
"30-04-2025","EQ","3472.00","3,509.90","3,366.00","3,472.50","3,431.80","3,453.70","3,464.02","4,592.25","3,056.05","28,09,332","9,73,15,86,389.30","1,29,048"
"29-04-2025","EQ","3455.00","3,495.00","3,430.40","3,443.50","3,473.00","3,472.50","3,470.18","4,592.25","3,056.05","15,78,332","5,47,70,91,995.80","95,060"
"28-04-2025","EQ","3435.00","3,457.80","3,405.00","3,448.00","3,441.00","3,443.50","3,438.58","4,592.25","3,056.05","15,93,296","5,47,86,82,188.50","94,204"
"25-04-2025","EQ","3420.00","3,477.80","3,405.00","3,401.60","3,434.00","3,448.00","3,442.01","4,592.25","3,056.05","27,42,991","9,44,14,14,787.60","1,51,400"
"24-04-2025","EQ","3401.10","3,412.50","3,387.70","3,413.00","3,406.00","3,401.60","3,398.95","4,592.25","3,056.05","22,52,175","7,65,50,36,870.70","1,58,061"
"23-04-2025","EQ","3365.00","3,420.90","3,337.30","3,314.40","3,405.00","3,413.00","3,398.75","4,592.25","3,056.05","35,43,923","12,04,48,99,557.30","1,64,989"
"22-04-2025","EQ","3322.60","3,333.90","3,295.00","3,321.60","3,312.50","3,314.40","3,315.22","4,592.25","3,056.05","27,10,498","8,98,58,99,446.70","1,51,282"
"21-04-2025","EQ","3290.10","3,354.00","3,284.10","3,298.90","3,319.00","3,321.60","3,325.96","4,592.25","3,056.05","24,32,946","8,09,18,78,392.80","1,27,748"
"17-04-2025","EQ","3245.50","3,303.60","3,218.00","3,273.80","3,297.40","3,298.90","3,262.86","4,592.25","3,056.05","29,32,346","9,56,78,36,127.70","1,83,984"
"16-04-2025","EQ","3248.20","3,278.10","3,229.00","3,248.20","3,274.00","3,273.80","3,260.92","4,592.25","3,056.05","23,84,391","7,77,53,04,840.90","1,31,199"
"15-04-2025","EQ","3314.40","3,314.40","3,238.60","3,231.50","3,255.00","3,248.20","3,257.87","4,592.25","3,056.05","35,12,160","11,44,21,74,035.70","1,66,106"
"11-04-2025","EQ","3289.55","3,298.95","3,206.00","3,246.60","3,238.00","3,231.50","3,243.04","4,592.25","3,056.05","71,08,961","23,05,46,18,625.45","3,54,463"
"09-04-2025","EQ","3260.55","3,270.00","3,212.05","3,292.95","3,239.00","3,246.60","3,248.58","4,592.25","3,056.05","29,90,265","9,71,41,05,049.50","1,84,251"
"08-04-2025","EQ","3302.05","3,349.00","3,255.30","3,274.05","3,292.80","3,292.95","3,296.22","4,592.25","3,056.05","55,57,558","18,31,89,27,917.45","2,36,248"
"07-04-2025","EQ","3100.00","3,291.40","3,056.05","3,299.40","3,285.00","3,274.05","3,167.51","4,592.25","3,056.05","66,23,955","20,98,14,63,559.10","3,86,019"
"04-04-2025","EQ","3362.60","3,399.65","3,295.50","3,403.15","3,304.85","3,299.40","3,318.10","4,592.25","3,295.50","53,17,367","17,64,35,41,008.05","2,16,133"
